Strike,Type,OI,Volume
29890.0,Call,7.0,8.0
29960.0,Call,15.0,15.0
30020.0,Put,0.0,0.0
29910.0,Call,16.0,16.0
29730.0,Put,0.0,0.0
29740.0,Put,0.0,0.0
29840.0,Call,15.0,21.0
29710.0,Put,0.0,0.0
29720.0,Call,4.0,7.0
29850.0,Put,0.0,0.0
29860.0,Call,12.0,24.0
29575.0,Put,3.0,10.0
29530.0,Call,10.0,9.0
29870.0,Put,2.0,2.0
29725.0,Call,8.0,12.0
29860.0,Put,0.0,0.0
29720.0,Put,0.0,0.0
29840.0,Put,0.0,0.0
29710.0,Call,17.0,26.0
29740.0,Call,11.0,14.0
29725.0,Put,0.0,0.0
29730.0,Call,14.0,28.0
29680.0,Put,0.0,0.0
29690.0,Call,12.0,14.0
29610.0,Put,0.0,0.0
29620.0,Put,0.0,0.0
29620.0,Call,3.0,12.0
29125.0,Call,1.0,1.0
29680.0,Call,5.0,5.0
29690.0,Put,0.0,0.0
29610.0,Call,7.0,9.0
29120.0,Put,33.0,39.0
29100.0,Put,292.0,459.0
29060.0,Call,0.0,0.0
28925.0,Call,5.0,1.0
28875.0,Put,19.0,18.0
28730.0,Call,11.0,0.0
28690.0,Call,3.0,0.0
28690.0,Put,7.0,4.0
28680.0,Call,2.0,0.0
28625.0,Call,12.0,0.0
28580.0,Call,0.0,0.0
28440.0,Call,0.0,0.0
28320.0,Put,4.0,3.0
28310.0,Call,0.0,0.0
28290.0,Call,0.0,0.0
28270.0,Put,15.0,10.0
28225.0,Call,11.0,0.0
28225.0,Put,14.0,1.0
28190.0,Put,3.0,0.0
28110.0,Put,4.0,4.0
28060.0,Put,11.0,11.0
27920.0,Put,3.0,3.0
27840.0,Put,1.0,1.0
27825.0,Put,6.0,2.0
28760.0,Call,11.0,0.0
28790.0,Call,0.0,0.0
28540.0,Call,0.0,0.0
28580.0,Put,5.0,14.0
29430.0,Call,11.0,16.0
29440.0,Call,19.0,42.0
29370.0,Call,16.0,23.0
28970.0,Call,0.0,0.0
28910.0,Call,2.0,2.0
27970.0,Put,3.0,3.0
28250.0,Call,12.0,0.0
29220.0,Put,29.0,36.0
29210.0,Call,4.0,6.0
29120.0,Call,7.0,5.0
28990.0,Call,1.0,0.0
28975.0,Call,5.0,0.0
28570.0,Call,0.0,0.0
28390.0,Put,8.0,10.0
28590.0,Put,7.0,7.0
28470.0,Put,10.0,11.0
28240.0,Call,0.0,0.0
28280.0,Put,7.0,1.0
28030.0,Call,0.0,0.0
28260.0,Call,0.0,0.0
27980.0,Put,11.0,11.0
28025.0,Call,0.0,0.0
27890.0,Put,2.0,2.0
28040.0,Put,13.0,13.0
28060.0,Call,0.0,0.0
28040.0,Call,0.0,0.0
28070.0,Put,22.0,5.0
28120.0,Call,0.0,0.0
28140.0,Put,8.0,8.0
28170.0,Put,11.0,11.0
28170.0,Call,0.0,0.0
28180.0,Call,0.0,0.0
28180.0,Put,8.0,8.0
28210.0,Call,0.0,0.0
28190.0,Call,0.0,0.0
28210.0,Put,3.0,4.0
28075.0,Put,9.0,6.0
28290.0,Put,13.0,9.0
28280.0,Call,0.0,0.0
28340.0,Put,3.0,3.0
28340.0,Call,0.0,0.0
28330.0,Call,0.0,0.0
28460.0,Call,0.0,0.0
28540.0,Put,40.0,27.0
28560.0,Call,4.0,0.0
28610.0,Call,0.0,0.0
28620.0,Put,4.0,4.0
28620.0,Call,0.0,0.0
28630.0,Put,10.0,10.0
28680.0,Put,31.0,30.0
28770.0,Call,8.0,0.0
28770.0,Put,8.0,5.0
28820.0,Put,1.0,1.0
28880.0,Call,0.0,0.0
28920.0,Call,0.0,0.0
28930.0,Put,12.0,20.0
29020.0,Put,90.0,90.0
29040.0,Call,7.0,0.0
29080.0,Put,10.0,14.0
29070.0,Call,5.0,1.0
29090.0,Call,2.0,4.0
29210.0,Put,13.0,21.0
29240.0,Put,4.0,8.0
29230.0,Put,14.0,25.0
29330.0,Call,28.0,37.0
29330.0,Put,17.0,28.0
29360.0,Put,21.0,36.0
29360.0,Call,5.0,11.0
29375.0,Call,33.0,55.0
29440.0,Put,22.0,28.0
29450.0,Put,60.0,85.0
29460.0,Put,17.0,25.0
29525.0,Call,26.0,55.0
29560.0,Call,21.0,29.0
29570.0,Call,20.0,31.0
29570.0,Put,2.0,2.0
29580.0,Put,0.0,0.0
29600.0,Put,25.0,25.0
29580.0,Call,17.0,19.0
29950.0,Put,0.0,0.0
29900.0,Put,0.0,0.0
30100.0,Put,0.0,0.0
27825.0,Call,3.0,0.0
27830.0,Put,2.0,2.0
27890.0,Call,0.0,0.0
28080.0,Put,0.0,1.0
28080.0,Call,0.0,0.0
28325.0,Call,71.0,0.0
28370.0,Put,14.0,17.0
28370.0,Call,0.0,0.0
28390.0,Call,0.0,0.0
28410.0,Put,8.0,11.0
28410.0,Call,0.0,0.0
28425.0,Call,5.0,0.0
28740.0,Put,20.0,22.0
28740.0,Call,3.0,0.0
28790.0,Put,6.0,13.0
28820.0,Call,7.0,0.0
28840.0,Call,9.0,0.0
28850.0,Put,40.0,62.0
28860.0,Put,40.0,31.0
28870.0,Put,10.0,11.0
28870.0,Call,9.0,0.0
28890.0,Put,2.0,4.0
28890.0,Call,0.0,0.0
28910.0,Put,9.0,8.0
29340.0,Call,5.0,9.0
29850.0,Call,7.0,24.0
29950.0,Call,30.0,48.0
30050.0,Put,1.0,0.0
29420.0,Put,23.0,54.0
27990.0,Put,4.0,4.0
29175.0,Call,26.0,1.0
29650.0,Call,36.0,90.0
29650.0,Put,2.0,2.0
29700.0,Put,1.0,1.0
29600.0,Call,419.0,309.0
29510.0,Call,6.0,15.0
29510.0,Put,4.0,4.0
29480.0,Call,17.0,32.0
29320.0,Call,22.0,32.0
29275.0,Put,22.0,43.0
29140.0,Call,3.0,3.0
29025.0,Put,17.0,22.0
29025.0,Call,0.0,0.0
28720.0,Call,4.0,0.0
28730.0,Put,7.0,4.0
28720.0,Put,15.0,4.0
28590.0,Call,0.0,0.0
28710.0,Put,12.0,12.0
28630.0,Call,0.0,0.0
28010.0,Put,0.0,0.0
28020.0,Call,0.0,0.0
27960.0,Call,0.0,0.0
27940.0,Call,0.0,0.0
29800.0,Put,16.0,16.0
29560.0,Put,2.0,2.0
27925.0,Put,4.0,2.0
27925.0,Call,0.0,0.0
27975.0,Put,4.0,4.0
27975.0,Call,3.0,0.0
28075.0,Call,22.0,0.0
29100.0,Call,50.0,6.0
29150.0,Put,72.0,116.0
29200.0,Put,69.0,146.0
28300.0,Call,158.0,37.0
29050.0,Call,23.0,1.0
28575.0,Call,6.0,0.0
30000.0,Put,1.0,0.0
29000.0,Put,213.0,390.0
29250.0,Put,109.0,220.0
29750.0,Call,102.0,262.0
28800.0,Call,13.0,2.0
28500.0,Put,159.0,270.0
28300.0,Put,150.0,221.0
28200.0,Put,92.0,76.0
27950.0,Put,158.0,3.0
28150.0,Put,62.0,33.0
28150.0,Call,26.0,0.0
